id;name;description;organisation_id
-1;Default Customer;Default Customer;-1
1;Kaneco Holdings Co.;Kaneco Holdings Co.;1
2;A Bit of Information;A Bit of Information;1
3;Statamare;Statamare;1
4;Citizen Crib;Citizen Crib;1
5;Tradition of Kings;Tradition of Kings;1
6;Intriguing Data;Intriguing Data;1
7;Noodoodletown;Noodoodletown;1
8;FxKap;FxKap;1
9;WizCrap;WizCrap;1
10;Hodges & Forbes;Hodges & Forbes;1
11;Nomads Snack Shack;Nomads Snack Shack;2
12;Qbio Tech Services;Qbio Tech Services;2
13;Data-Proof.ca;Data-Proof.ca;2
14;LovinLives;LovinLives;2
15;Refinery Progress;Refinery Progress;2
16;Sydney Library;Sydney Library;2
17;InStrategic Insight;InStrategic Insight;2
18;Searache Co.;Searache Co.;2
19;Xero Xtreme Printing;Xero Xtreme Printing;2
20;Zoyo Datamining;Zoyo Datamining;2
21;Stacked Snooze;Stacked Snooze;3
22;Ava's Bodywork;Ava's Bodywork;3
23;Crowdlives;Crowdlives;3
24;Acai Berry Buzz;Acai Berry Buzz;3
25;Harmony Intelligence;Harmony Intelligence;3
26;Influence by Nature;Influence by Nature;3
27;Zariah Law Group;Zariah Law Group;3
28;Dollies and Books;Dollies and Books;3
29;Envince Research;Envince Research;3
30;A Better Life Source;A Better Life Source;3
31;Insight Data Bank;Insight Data Bank;4
32;Scribdigix;Scribdigix;4
33;Shoot-A-Key;Shoot-A-Key;4
34;Nuts Berries & More;Nuts Berries & More;4
35;B. E. Scrivens;B. E. Scrivens;4
36;Blokelytics;Blokelytics;4
37;Icy Hotz;Icy Hotz;4
38;Mighty Notch;Mighty Notch;4
39;Nostalgia For One;Nostalgia For One;4
40;AJS Data;AJS Data;4
41;Quinn Poll;Quinn Poll;5
42;Pasteas Global;Pasteas Global;5
43;All Stedicated;All Stedicated;5
44;Genetic Speight;Genetic Speight;5
45;Solutions2Money;Solutions2Money;5
46;The Social CMD;The Social CMD;5
47;Scrubs It Up;Scrubs It Up;5
48;Tc Adn;Tc Adn;5
49;Tonic Research;Tonic Research;5
50;Fotoola;Fotoola;5
51;Truline Labs;Truline Labs;6
52;Applied Science Data;Applied Science Data;6
53;Lift Log Book;Lift Log Book;6
54;Intentional Source;Intentional Source;6
55;Wrap It Up Datum;Wrap It Up Datum;6
56;Empire NewsNet;Empire NewsNet;6
57;Ynys Cs;Ynys Cs;6
58;Gimme Your Slots;Gimme Your Slots;6
59;SmartShots.com;SmartShots.com;6
60;Datapoints Direct;Datapoints Direct;6
61;Brimmer's Bizarre;Brimmer's Bizarre;7
62;The Grammar Store;The Grammar Store;7
63;Pixels of Lead;Pixels of Lead;7
64;Toby Keith Services;Toby Keith Services;7
65;Sourced Data Systems;Sourced Data Systems;7
66;Emser Research;Emser Research;7
67;Truvilla Analytics;Truvilla Analytics;7
68;Business Source Data;Business Source Data;7
69;Qn3Media;Qn3Media;7
70;Go Data Source;Go Data Source;7
71;Qcumilat;Qcumilat;8
72;Acadia Biometrics;Acadia Biometrics;8
73;Business with Ewe;Business with Ewe;8
74;GetUp and StayUp;GetUp and StayUp;8
75;Brainstorm Vantage;Brainstorm Vantage;8
76;Alquator Finance;Alquator Finance;8
77;K9HQ.com;K9HQ.com;8
78;CSN Analytics;CSN Analytics;8
79;Dangerous Disposals;Dangerous Disposals;8
80;Get Data Journalism;Get Data Journalism;8
81;H2H Finds;H2H Finds;9
82;Stampede Reporting;Stampede Reporting;9
83;The Datum Collective;The Datum Collective;9
